Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206_3216Metric,176.53,-70.915,180,top
C2,10uF,C_1206_3216Metric,167.905,-71.345,90,top
C3,0.1uF,C_0603_1608Metric,165.365,-71.69,90,top
C4,0.1uF,C_0603_1608Metric,139.635,-81.41,0,top
C5,0.1uF,C_0603_1608Metric,125.31,-80.775,180,top
C6,0.1uF,C_0603_1608Metric,125.665,-75.06,0,top
C7,0.1uF,C_0603_1608Metric,139.635,-83.315,0,top
D1,RED,LED_0805_2012Metric,171.715,-74.725,-90,top
D2,GREEN,LED_0805_2012Metric,142.9091,-86.2294,180,top
D3,GREEN,LED_0805_2012Metric,98.245,-96.3475,90,top
D4,1N4148W,D_SOD-123,100.785,-95.38,-90,top
D5,GREEN,LED_0805_2012Metric,128.29,-96.015,90,top
D6,1N4148W,D_SOD-123,130.83,-95.38,-90,top
D7,GREEN,LED_0805_2012Metric,159.84,-96.015,90,top
D8,1N4148W,D_SOD-123,162.38,-95.38,-90,top
D9,GREEN,LED_0805_2012Metric,191.59,-95.38,90,top
D10,1N4148W,D_SOD-123,194.13,-95.38,-90,top
J1,USB_C_Receptacle_USB2.0,TYPE-C-31-M-14,195.9412,-71.5482,180,top
J2,"PT-1,5-2-3.5-H","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",186.13,-73.79,180,top
J3,OLED DISPLAY,PinHeader_1x04_P2.54mm_Vertical,143.585,-75.06,0,top
J4,FTDI Basic,PinHeader_1x06_P2.54mm_Vertical,138.505,-70.615,-90,top
J5,AVR ISP,PinHeader_2x03_P2.54mm_Vertical,148.03,-89.03,90,top
J6,AC input,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",95.96,-107.445,-90,top
J7,Relay out,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",109.076785,-115.365,0,top
J8,Relay out,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",139.775,-115.365,0,top
J9,Relay out,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",170.466666,-115.365,0,top
J10,Relay out,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",201.158334,-115.365,0,top
J11,USB_B_Micro,USB_Micro-B_GCT_USB3076-30-A,207.1406,-72.037,180,top
K1,SANYOU_SRD_Form_A,Relay_SPST_SANYOU_SRD_Series_Form_A,105.728334,-99.49,0,top
K2,SANYOU_SRD_Form_A,Relay_SPST_SANYOU_SRD_Series_Form_A,136.61,-99.49,0,top
K3,SANYOU_SRD_Form_A,Relay_SPST_SANYOU_SRD_Series_Form_A,167.491666,-99.49,0,top
K4,SANYOU_SRD_Form_A,Relay_SPST_SANYOU_SRD_Series_Form_A,198.373334,-99.49,0,top
Q5,MMBT3904,SOT-23,100.4525,-100.775,0,top
Q6,MMBT3904,SOT-23,130.5275,-100.46,0,top
Q7,MMBT3904,SOT-23,161.745,-100.46,0,top
Q8,MMBT3904,SOT-23,192.5575,-100.46,0,top
R1,10k,R_0603_1608Metric,193.94,-80.25,-90,top
R2,10k,R_0603_1608Metric,197.115,-80.25,-90,top
R3,10k,R_0603_1608Metric,172.16,-71.55,0,top
R4,10k,R_0603_1608Metric,135.52,-74.235,-90,top
R5,10k,R_0603_1608Metric,133.615,-74.235,-90,top
R6,10k,R_0603_1608Metric,123.0232,-74.3036,-90,top
R7,330,R_0603_1608Metric,139.584,-86.331,0,top
R8,10K,R_0603_1608Metric,96.721,-101.6218,180,top
R9,2.7k,R_0603_1608Metric,96.755,-99.825,0,top
R10,300,R_0603_1608Metric,98.69,-92.205,0,top
R11,10K,R_0603_1608Metric,126.83,-101.73,180,top
R12,2.7k,R_0603_1608Metric,126.83,-99.825,0,top
R13,300,R_0603_1608Metric,128.735,-91.57,0,top
R14,10K,R_0603_1608Metric,157.935,-101.73,180,top
R15,2.7k,R_0603_1608Metric,158.125,-99.825,0,top
R16,300,R_0603_1608Metric,160.475,-91.57,0,top
R17,10K,R_0603_1608Metric,188.86,-101.73,180,top
R18,2.7k,R_0603_1608Metric,188.86,-99.825,0,top
R19,300,R_0603_1608Metric,191.4,-90.935,0,top
RV1,10k,Potentiometer_Bourns_TC33X_Vertical,150.02,-71.075,180,top
RV2,10k,Potentiometer_Bourns_TC33X_Vertical,156.02,-71.075,180,top
SW1,B3S-1000,SW_SPST_B3S-1000,116.625,-79.325,90,top
SW2,RELAY CONFIG,SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm,105.4972,-79.605,90,top
U1,MIC5205-5.0YM5,SOT-23-5,176.6625,-74.41,180,top
U2,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,132.595,-81.15,0,top
Y1,16MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,125.805,-85.15,90,top
